#data
R,THETA,PHI,abs|E|
100,80,25,6.12409
100,85,25,6.15882
100,90,25,6.17072
100,95,25,0
100,100,25,0
100,105,25,0
100,110,25,0
100,115,25,0
100,120,25,0
100,125,25,0
100,130,25,0
100,135,25,0
100,140,25,0
100,145,25,0
100,150,25,0
100,155,25,0
100,160,25,0
100,165,25,0
100,170,25,0
100,175,25,0
100,180,25,0
100,0,250,2.59796
100,5,250,2.54189
100,10,250,2.5126
100,15,250,2.51649
100,20,250,2.55921
100,25,250,2.64197
100,30,250,2.75926
100,35,250,2.89964
100,40,250,3.04895
100,45,250,3.19396
100,50,250,3.32503
100,55,250,3.43703
100,60,250,3.52883
100,65,250,3.60192
100,70,250,3.65879
100,75,250,3.7017
100,80,250,3.732
100,85,250,3.75019
100,90,250,3.75627
100,95,250,0
100,100,250,0
100,105,250,0
100,110,250,0
100,115,250,0
100,120,250,0
100,125,250,0
100,130,250,0
100,135,250,0
100,140,250,0
100,145,250,0
100,150,250,0
100,155,250,0
100,160,250,0
100,165,250,0
100,170,250,0
100,175,250,0
100,180,250,0
100,0,255,2.59796
100,5,255,2.53229
100,10,255,2.48533
100,15,255,2.46443
100,20,255,2.47711
100,25,255,2.52764
100,30,255,2.61441
100,35,255,2.72982
100,40,255,2.86249
100,45,255,3.0005
100,50,255,3.13396
100,55,255,3.25617
100,60,255,3.36355
100,65,255,3.45475
100,70,255,3.52957
100,75,255,3.58812
100,80,255,3.63031
100,85,255,3.65584
100,90,255,3.6644
100,95,255,0
100,100,255,0
100,105,255,0
100,110,255,0
100,115,255,0
100,120,255,0
100,125,255,0
100,130,255,0
100,135,255,0
100,140,255,0
100,145,255,0
100,150,255,0
100,155,255,0
100,160,255,0
100,165,255,0
100,170,255,0
100,175,255,0
100,180,255,0
100,0,260,2.59796
100,5,260,2.52442
100,10,260,2.46369
100,15,260,2.42366
100,20,260,2.41297
100,25,260,2.43813
100,30,260,2.50079
100,35,260,2.59682
100,40,260,2.71761
100,45,260,2.85253
100,50,260,2.99136
100,55,260,3.1257
100,60,260,3.24939
100,65,260,3.3583
100,70,260,3.44979
100,75,260,3.52219
100,80,260,3.5745
100,85,260,3.6061
100,90,260,3.61667
100,95,260,0
100,100,260,0
100,105,260,0
100,110,260,0
100,115,260,0
100,120,260,0
100,125,260,0
100,130,260,0
100,135,260,0
100,140,260,0
100,145,260,0
100,150,260,0
100,155,260,0
100,160,260,0
100,165,260,0
100,170,260,0
100,175,260,0
100,180,260,0
100,0,265,2.59796
100,5,265,2.51842
100,10,265,2.44829
100,15,265,2.39569
100,20,265,2.36981
100,25,265,2.37841
100,30,265,2.42533
100,35,265,2.50907
100,40,265,2.62322
100,45,265,2.7582
100,50,265,2.90342
100,55,265,3.04891
100,60,265,3.18625
100,65,265,3.30901
100,70,265,3.4127
100,75,265,3.49461
100,80,265,3.55342
100,85,265,3.5887
100,90,265,3.60045
100,95,265,0
100,100,265,0
100,105,265,0
100,110,265,0
100,115,265,0
100,120,265,0
100,125,265,0
100,130,265,0
100,135,265,0
100,140,265,0
100,145,265,0
100,150,265,0
100,155,265,0
100,160,265,0
100,165,265,0
100,170,265,0
100,175,265,0
100,180,265,0
100,0,270,2.59796
100,5,270,2.51438
100,10,270,2.43952
100,15,270,2.38159
100,20,270,2.34976
100,25,270,2.35207
